,Account,newDate,kWh,Month,Day,Year,Hour,DayOfWeek,Weekday,PeakHour,temp
0,26435791004,2014-01-01,81.285,1,1,2014,0,2,1,0,23.0
365,26435791004,2014-01-01,81.705,1,1,2014,1,2,1,0,21.9
730,26435791004,2014-01-01,81.50999999999999,1,1,2014,2,2,1,0,21.9
1095,26435791004,2014-01-01,83.11500000000001,1,1,2014,3,2,1,0,21.9
1460,26435791004,2014-01-01,83.83500000000001,1,1,2014,4,2,1,0,21.0
1825,26435791004,2014-01-01,85.52999999999999,1,1,2014,5,2,1,0,21.0
2190,26435791004,2014-01-01,151.694997,1,1,2014,6,2,1,0,21.0
2555,26435791004,2014-01-01,153.764997,1,1,2014,7,2,1,1,19.9
2920,26435791004,2014-01-01,151.079997,1,1,2014,8,2,1,1,23.0
3285,26435791004,2014-01-01,151.049998,1,1,2014,9,2,1,1,24.1
3650,26435791004,2014-01-01,151.349996,1,1,2014,10,2,1,1,26.1
4015,26435791004,2014-01-01,151.07999800000002,1,1,2014,11,2,1,1,26.1
4380,26435791004,2014-01-01,152.324995,1,1,2014,12,2,1,1,27.0
4745,26435791004,2014-01-01,151.574998,1,1,2014,13,2,1,1,28.0
5110,26435791004,2014-01-01,131.80499400000002,1,1,2014,14,2,1,1,27.0
5475,26435791004,2014-01-01,149.81999599999997,1,1,2014,15,2,1,1,27.0
5840,26435791004,2014-01-01,160.394997,1,1,2014,16,2,1,1,26.1
6205,26435791004,2014-01-01,160.889997,1,1,2014,17,2,1,1,25.0
6570,26435791004,2014-01-01,159.46499699999998,1,1,2014,18,2,1,1,24.1
6935,26435791004,2014-01-01,153.434997,1,1,2014,19,2,1,1,24.1
7300,26435791004,2014-01-01,122.62499700000001,1,1,2014,20,2,1,0,23.0
7665,26435791004,2014-01-01,115.094995,1,1,2014,21,2,1,0,21.9
8030,26435791004,2014-01-01,111.089998,1,1,2014,22,2,1,0,23.0
8395,26435791004,2014-01-01,88.06500000000001,1,1,2014,23,2,1,0,23.0
1,26435791004,2014-01-02,87.46499999999999,1,2,2014,0,3,1,0,21.0
366,26435791004,2014-01-02,86.70000000000002,1,2,2014,1,3,1,0,19.9
731,26435791004,2014-01-02,88.14000000000001,1,2,2014,2,3,1,0,19.0
1096,26435791004,2014-01-02,93.52499899999998,1,2,2014,3,3,1,0,19.0
1461,26435791004,2014-01-02,213.86999500000002,1,2,2014,4,3,1,0,19.0
1826,26435791004,2014-01-02,212.459997,1,2,2014,5,3,1,0,19.0
2191,26435791004,2014-01-02,254.369992,1,2,2014,6,3,1,0,19.4
2556,26435791004,2014-01-02,251.639997,1,2,2014,7,3,1,1,19.0
2921,26435791004,2014-01-02,257.969993,1,2,2014,8,3,1,1,19.9
3286,26435791004,2014-01-02,257.624997,1,2,2014,9,3,1,1,24.1
3651,26435791004,2014-01-02,258.224991,1,2,2014,10,3,1,1,25.0
4016,26435791004,2014-01-02,255.70499400000003,1,2,2014,11,3,1,1,24.1
4381,26435791004,2014-01-02,253.634995,1,2,2014,12,3,1,1,24.1
