hours,temp,DateTime,Month,Year,DayOfWeek,Day,Weekday,PeakHour,kWh
18,70,2016-06-13,6,6,1,13,1,1,228.229292166177
19,70,2016-06-13,6,6,1,13,1,1,228.229292166177
20,69,2016-06-13,6,6,1,13,1,0,118.45747394898044
21,67,2016-06-13,6,6,1,13,1,0,118.51522191760485
22,65,2016-06-13,6,6,1,13,1,0,118.57296988622926
23,63,2016-06-13,6,6,1,13,1,0,118.63071785485369
0,61,2016-06-14,6,6,2,14,1,0,111.02903733358855
1,60,2016-06-14,6,6,2,14,1,0,111.05791131790076
2,59,2016-06-14,6,6,2,14,1,0,111.08678530221297
3,58,2016-06-14,6,6,2,14,1,0,111.11565928652519
4,57,2016-06-14,6,6,2,14,1,0,111.1445332708374
5,56,2016-06-14,6,6,2,14,1,0,111.1734072551496
6,56,2016-06-14,6,6,2,14,1,0,111.1734072551496
7,58,2016-06-14,6,6,2,14,1,1,220.91635148803402
8,61,2016-06-14,6,6,2,14,1,1,220.82972953509739
9,64,2016-06-14,6,6,2,14,1,1,220.74310758216075
10,67,2016-06-14,6,6,2,14,1,1,220.6564856292241
11,69,2016-06-14,6,6,2,14,1,1,220.59873766059968
12,71,2016-06-14,6,6,2,14,1,1,220.5409896919753
13,73,2016-06-14,6,6,2,14,1,1,220.4832417233509
14,75,2016-06-14,6,6,2,14,1,1,220.42549375472646
15,75,2016-06-14,6,6,2,14,1,1,220.42549375472646
16,75,2016-06-14,6,6,2,14,1,1,220.42549375472646
17,75,2016-06-14,6,6,2,14,1,1,220.42549375472646
18,74,2016-06-14,6,6,2,14,1,1,220.45436773903867
19,73,2016-06-14,6,6,2,14,1,1,220.4832417233509
20,71,2016-06-14,6,6,2,14,1,0,110.74029749046646
21,68,2016-06-14,6,6,2,14,1,0,110.82691944340309
22,66,2016-06-14,6,6,2,14,1,0,110.88466741202751
23,65,2016-06-14,6,6,2,14,1,0,110.91354139633972
0,64,2016-06-15,6,6,3,15,1,0,103.28298689076237
